"id";"sexo";"escala";"puntuacion_cruda";"puntuacion_t"
1070;1;15;16;47
1071;1;15;17;50
1072;1;15;18;52
1073;1;15;19;54
1074;1;15;20;56
1075;1;15;21;59
1076;1;15;22;61
1077;1;15;23;63
1078;1;15;24;65
1079;1;15;25;68
1080;1;15;26;70
1081;1;15;27;72
1082;1;15;28;75
1083;1;15;29;77
1084;1;15;30;79
1085;1;15;31;81
1086;1;15;32;84
1087;1;15;33;86
1088;1;15;34;88
1089;1;15;35;90
1090;1;15;36;93
1091;1;15;37;95
1092;1;16;29;31
1093;1;16;30;34
1094;1;16;31;36
1095;1;16;32;38
1096;1;16;33;40
1097;1;16;34;43
1098;1;16;35;45
1099;1;16;36;47
1100;1;16;37;50
1101;1;16;38;52
1102;1;16;39;54
1103;1;16;40;56
1104;1;16;41;59
1105;1;16;42;61
1106;1;16;43;63
1107;1;16;44;65
1108;1;16;45;68
1109;1;16;46;70
1110;1;16;47;72
1111;1;16;48;75
1112;1;16;49;77
1113;1;16;50;79
1114;1;16;51;81
1115;1;16;52;84
1116;1;17;14;30
1117;1;17;15;33
1118;1;17;16;36
1119;1;17;17;39
1120;1;17;18;41
1121;1;17;19;44
1122;1;17;20;47
1123;1;17;21;50
1124;1;17;22;53
1125;1;17;23;56
1126;1;17;24;59
1127;1;17;25;61
1128;1;17;26;64
1129;1;17;27;67
1130;1;17;28;70
1131;1;17;29;73
1132;1;17;30;76
1133;1;17;31;79
1134;1;17;32;81
1135;1;17;33;84
1136;1;17;34;87
1137;1;17;35;90
1138;1;17;36;93
1139;1;17;37;96
1140;1;17;38;99
1141;1;17;39;101
1142;1;17;40;104
1143;1;17;41;107
1144;1;17;42;110
1145;1;17;43;113
1146;1;17;44;116
1147;1;17;45;119
1148;1;17;46;121
1149;1;17;47;124
1150;1;17;48;127
1151;1;17;49;130
1152;1;18;0;40
1153;1;18;1;44
1154;1;18;2;48
1155;1;18;3;52
1156;1;18;4;56
1157;1;18;5;60
1158;1;18;6;64
1159;1;18;7;68
1160;1;18;8;72
1161;1;18;9;76
1162;1;18;10;80
1163;1;18;11;84
1164;1;18;12;88
1165;1;18;13;92
1166;1;18;14;96
1167;1;18;15;100
1168;1;18;16;104
1169;1;18;17;108
1170;1;18;18;112
1171;1;18;19;116
1172;1;18;20;120
1173;1;18;21;124
1174;1;18;22;128
1175;1;18;23;132
1176;1;18;24;136
1177;1;18;25;140
1178;1;18;26;144
1179;1;18;27;148
1180;1;18;28;152
1181;1;18;29;156
1182;1;18;30;160
1183;1;18;31;164
1184;1;18;32;168
1185;1;18;33;172
1186;1;18;34;176
1187;1;18;35;180
1188;1;18;36;184
1189;1;18;37;188
1190;1;18;38;192
1191;1;18;39;196
1192;1;18;40;200
1193;1;19;9;33
1194;1;19;10;36
1195;1;19;11;39
1196;1;19;12;43
1197;1;19;13;46
1198;1;19;14;49
1199;1;19;15;53
1200;1;19;16;56
1201;1;19;17;59
1202;1;19;18;63
1203;1;19;19;66
1204;1;19;20;69
1205;1;19;21;73
1206;1;19;22;76
1207;1;19;23;79
1208;1;19;24;83
